frame,people,box_width,box_height,aspect_ratio_h_over_w
fall-01-cam0-rgb-001.png,1,84,225,2.67
fall-01-cam0-rgb-002.png,1,84,226,2.69
fall-01-cam0-rgb-003.png,1,78,226,2.9
fall-01-cam0-rgb-004.png,1,83,226,2.73
fall-01-cam0-rgb-005.png,1,80,225,2.82
fall-01-cam0-rgb-006.png,1,82,226,2.75
fall-01-cam0-rgb-007.png,1,81,226,2.8
fall-01-cam0-rgb-008.png,1,80,226,2.82
fall-01-cam0-rgb-009.png,1,81,226,2.79
fall-01-cam0-rgb-010.png,1,82,226,2.76
fall-01-cam0-rgb-011.png,1,81,226,2.8
fall-01-cam0-rgb-012.png,1,81,227,2.79
fall-01-cam0-rgb-013.png,1,87,227,2.6
fall-01-cam0-rgb-014.png,1,91,227,2.5
fall-01-cam0-rgb-015.png,1,93,228,2.46
fall-01-cam0-rgb-016.png,1,96,228,2.38
fall-01-cam0-rgb-017.png,1,98,227,2.33
fall-01-cam0-rgb-018.png,1,98,228,2.33
fall-01-cam0-rgb-019.png,1,99,229,2.32
fall-01-cam0-rgb-020.png,1,99,229,2.32
fall-01-cam0-rgb-021.png,1,99,228,2.3
fall-01-cam0-rgb-022.png,1,99,229,2.31
fall-01-cam0-rgb-023.png,1,97,229,2.36
fall-01-cam0-rgb-024.png,1,99,229,2.31
fall-01-cam0-rgb-025.png,1,100,230,2.3
fall-01-cam0-rgb-026.png,1,97,230,2.37
fall-01-cam0-rgb-027.png,1,97,229,2.37
fall-01-cam0-rgb-028.png,1,96,229,2.39
fall-01-cam0-rgb-029.png,1,95,230,2.43
fall-01-cam0-rgb-030.png,1,92,231,2.52
fall-01-cam0-rgb-031.png,1,86,232,2.69
fall-01-cam0-rgb-032.png,1,85,233,2.74
fall-01-cam0-rgb-033.png,1,82,235,2.85
fall-01-cam0-rgb-034.png,1,81,237,2.94
fall-01-cam0-rgb-035.png,1,80,238,2.96
fall-01-cam0-rgb-036.png,1,78,240,3.09
fall-01-cam0-rgb-037.png,1,79,241,3.04
fall-01-cam0-rgb-038.png,1,78,242,3.1
fall-01-cam0-rgb-039.png,1,76,243,3.18
fall-01-cam0-rgb-040.png,1,75,243,3.26
fall-01-cam0-rgb-041.png,1,78,245,3.16
fall-01-cam0-rgb-042.png,1,75,246,3.27
fall-01-cam0-rgb-043.png,1,77,246,3.18
fall-01-cam0-rgb-044.png,1,80,247,3.11
fall-01-cam0-rgb-045.png,1,81,247,3.06
fall-01-cam0-rgb-046.png,1,84,248,2.96
fall-01-cam0-rgb-047.png,1,85,248,2.93
fall-01-cam0-rgb-048.png,1,88,248,2.8
fall-01-cam0-rgb-049.png,1,91,248,2.73
fall-01-cam0-rgb-050.png,1,95,248,2.62
fall-01-cam0-rgb-051.png,1,98,249,2.55
fall-01-cam0-rgb-052.png,1,98,249,2.55
fall-01-cam0-rgb-053.png,1,97,249,2.57
fall-01-cam0-rgb-054.png,1,99,250,2.52
fall-01-cam0-rgb-055.png,1,103,252,2.44
fall-01-cam0-rgb-056.png,1,102,255,2.51
fall-01-cam0-rgb-057.png,1,100,256,2.56
fall-01-cam0-rgb-058.png,1,99,258,2.61
fall-01-cam0-rgb-059.png,1,100,262,2.61
fall-01-cam0-rgb-060.png,1,99,265,2.68
fall-01-cam0-rgb-061.png,1,101,268,2.65
fall-01-cam0-rgb-062.png,1,98,270,2.75
fall-01-cam0-rgb-063.png,1,97,271,2.79
fall-01-cam0-rgb-064.png,1,95,273,2.88
fall-01-cam0-rgb-065.png,1,95,274,2.88
fall-01-cam0-rgb-066.png,1,96,276,2.88
