frame,people,box_width,box_height,aspect_ratio_h_over_w
adl-01-cam0-rgb-001.png,0,,,
adl-01-cam0-rgb-002.png,0,,,
adl-01-cam0-rgb-003.png,0,,,
adl-01-cam0-rgb-004.png,0,,,
adl-01-cam0-rgb-005.png,0,,,
adl-01-cam0-rgb-006.png,0,,,
adl-01-cam0-rgb-007.png,0,,,
adl-01-cam0-rgb-008.png,0,,,
adl-01-cam0-rgb-009.png,1,40,177,4.42
adl-01-cam0-rgb-010.png,1,42,181,4.28
adl-01-cam0-rgb-011.png,1,47,182,3.89
adl-01-cam0-rgb-012.png,1,52,179,3.43
adl-01-cam0-rgb-013.png,1,58,186,3.23
adl-01-cam0-rgb-014.png,1,67,200,2.97
adl-01-cam0-rgb-015.png,1,68,197,2.88
adl-01-cam0-rgb-016.png,1,69,203,2.96
adl-01-cam0-rgb-017.png,1,62,194,3.11
adl-01-cam0-rgb-018.png,1,63,191,3.04
adl-01-cam0-rgb-019.png,1,66,191,2.9
adl-01-cam0-rgb-020.png,1,68,193,2.85
adl-01-cam0-rgb-021.png,1,72,195,2.71
adl-01-cam0-rgb-022.png,1,71,194,2.73
adl-01-cam0-rgb-023.png,1,76,196,2.59
adl-01-cam0-rgb-024.png,1,77,197,2.56
adl-01-cam0-rgb-025.png,1,77,204,2.64
adl-01-cam0-rgb-026.png,1,78,205,2.62
adl-01-cam0-rgb-027.png,1,82,203,2.47
adl-01-cam0-rgb-028.png,1,83,200,2.41
adl-01-cam0-rgb-029.png,1,81,201,2.48
adl-01-cam0-rgb-030.png,1,80,204,2.55
adl-01-cam0-rgb-031.png,1,77,200,2.6
adl-01-cam0-rgb-032.png,1,77,201,2.6
adl-01-cam0-rgb-033.png,1,77,201,2.63
adl-01-cam0-rgb-034.png,1,77,205,2.64
adl-01-cam0-rgb-035.png,1,77,210,2.71
adl-01-cam0-rgb-036.png,1,77,221,2.87
adl-01-cam0-rgb-037.png,1,78,214,2.75
adl-01-cam0-rgb-038.png,1,79,224,2.82
adl-01-cam0-rgb-039.png,1,81,229,2.83
adl-01-cam0-rgb-040.png,1,82,231,2.81
adl-01-cam0-rgb-041.png,1,82,237,2.88
adl-01-cam0-rgb-042.png,1,83,241,2.91
adl-01-cam0-rgb-043.png,1,84,244,2.9
adl-01-cam0-rgb-044.png,1,85,247,2.89
adl-01-cam0-rgb-045.png,1,85,252,2.94
adl-01-cam0-rgb-046.png,1,85,254,3.0
adl-01-cam0-rgb-047.png,1,86,260,3.01
adl-01-cam0-rgb-048.png,1,87,260,3.0
adl-01-cam0-rgb-049.png,1,87,263,3.02
adl-01-cam0-rgb-050.png,1,88,267,3.03
adl-01-cam0-rgb-051.png,1,87,268,3.08
adl-01-cam0-rgb-052.png,1,88,267,3.02
adl-01-cam0-rgb-053.png,1,90,270,3.02
adl-01-cam0-rgb-054.png,1,93,272,2.92
adl-01-cam0-rgb-055.png,1,94,273,2.92
adl-01-cam0-rgb-056.png,1,95,276,2.89
adl-01-cam0-rgb-057.png,1,97,279,2.89
adl-01-cam0-rgb-058.png,1,99,282,2.84
adl-01-cam0-rgb-059.png,1,99,283,2.87
adl-01-cam0-rgb-060.png,1,101,286,2.84
adl-01-cam0-rgb-061.png,1,102,288,2.83
adl-01-cam0-rgb-062.png,1,104,290,2.79
adl-01-cam0-rgb-063.png,1,102,292,2.87
adl-01-cam0-rgb-064.png,1,102,295,2.89
adl-01-cam0-rgb-065.png,1,103,298,2.88
adl-01-cam0-rgb-066.png,1,103,301,2.93
adl-01-cam0-rgb-067.png,1,104,306,2.95
adl-01-cam0-rgb-068.png,1,104,307,2.96
adl-01-cam0-rgb-069.png,1,104,312,2.99
adl-01-cam0-rgb-070.png,1,104,315,3.01
adl-01-cam0-rgb-071.png,1,105,315,3.0
adl-01-cam0-rgb-072.png,1,105,317,3.02
adl-01-cam0-rgb-073.png,1,105,317,3.04
adl-01-cam0-rgb-074.png,1,104,321,3.09
adl-01-cam0-rgb-075.png,1,103,323,3.15
adl-01-cam0-rgb-076.png,1,100,325,3.25
adl-01-cam0-rgb-077.png,1,97,327,3.39
adl-01-cam0-rgb-078.png,1,96,329,3.42
adl-01-cam0-rgb-079.png,1,98,332,3.39
adl-01-cam0-rgb-080.png,1,100,334,3.35
adl-01-cam0-rgb-081.png,1,98,334,3.42
adl-01-cam0-rgb-082.png,1,98,335,3.4
adl-01-cam0-rgb-083.png,1,100,334,3.35
adl-01-cam0-rgb-084.png,1,103,332,3.23
adl-01-cam0-rgb-085.png,1,106,330,3.12
adl-01-cam0-rgb-086.png,1,108,331,3.06
adl-01-cam0-rgb-087.png,1,110,329,2.98
adl-01-cam0-rgb-088.png,1,115,328,2.85
adl-01-cam0-rgb-089.png,1,116,325,2.81
adl-01-cam0-rgb-090.png,1,118,321,2.71
adl-01-cam0-rgb-091.png,1,124,321,2.58
adl-01-cam0-rgb-092.png,1,127,315,2.47
adl-01-cam0-rgb-093.png,1,131,310,2.36
adl-01-cam0-rgb-094.png,1,136,304,2.23
adl-01-cam0-rgb-095.png,1,140,306,2.19
adl-01-cam0-rgb-096.png,1,134,298,2.22
adl-01-cam0-rgb-097.png,1,135,303,2.25
adl-01-cam0-rgb-098.png,1,116,291,2.51
adl-01-cam0-rgb-099.png,1,141,299,2.12
adl-01-cam0-rgb-100.png,1,144,303,2.1
adl-01-cam0-rgb-101.png,1,144,283,1.97
adl-01-cam0-rgb-102.png,1,151,275,1.83
adl-01-cam0-rgb-103.png,1,157,279,1.77
adl-01-cam0-rgb-104.png,1,160,278,1.74
adl-01-cam0-rgb-105.png,1,162,278,1.71
adl-01-cam0-rgb-106.png,1,164,275,1.68
adl-01-cam0-rgb-107.png,1,163,258,1.58
adl-01-cam0-rgb-108.png,1,165,253,1.53
adl-01-cam0-rgb-109.png,1,167,248,1.49
adl-01-cam0-rgb-110.png,1,167,244,1.46
adl-01-cam0-rgb-111.png,1,168,240,1.43
adl-01-cam0-rgb-112.png,1,167,232,1.39
